symbol,interval,lastPrice,volume_24h,priceChangePercent_1h,priceChangePercent_24h,volumeChange_1h,volumeChangePercent_1h,volumeChange_4h,volumeChangePercent_4h,volumeChange_24h,volumeChangePercent_24h
BTCUSDT,1h,19953.87,1336874337.0,0.06,-5.84,-86177661.0,-376.87,67008561.0,293.04,1336874337.0,5846.46
ETHUSDT,1h,1120.85,1212137858.0,0.11,-9.29,-61968701.0,-437.11,4114111.0,29.02,1212137858.0,8549.99
XRPUSDT,1h,0.3281,100375383.0,-0.3,-7.56,-6801023.0,-516.18,1113498.0,84.51,100375383.0,7618.26
MANAUSDT,1h,0.8652,23685810.0,0.03,-13.95,-1046904.0,-340.08,349043.0,113.38,23685810.0,7694.1
HNTUSDT,1h,9.6,7468759.0,0.1,-13.96,-573038.0,-1091.54,148542.0,282.95,7468759.0,14226.75
BNBUSDT,1h,218.6,171678989.0,-0.05,-9.61,-9098876.0,-602.23,154032.0,10.2,171678989.0,11363.04
NEOUSDT,1h,8.76,3461962.0,-0.11,-9.82,-199595.0,-469.54,118699.0,279.23,3461962.0,8144.07
LTCUSDT,1h,51.78,20426326.0,-0.19,-8.88,-804663.0,-398.71,135659.0,67.22,20426326.0,10121.26
QTUMUSDT,1h,2.839,2569441.0,-0.18,-8.88,-164102.0,-645.06,-43833.0,-172.3,2569441.0,10100.0
ADAUSDT,1h,0.464,74943099.0,-0.06,-6.21,-4403223.0,-519.43,1617882.0,190.86,74943099.0,8840.78
EOSUSDT,1h,0.927,7927331.0,-0.11,-7.66,-340480.0,-429.17,-357526.0,-450.66,7927331.0,9992.35
TUSDUSDT,1h,1.0015,10829975.0,-0.01,0.02,-1100085.0,-1511.77,517106.0,710.62,10829975.0,14882.88
IOTAUSDT,1h,0.2694,2308178.0,-0.19,-8.76,-135105.0,-465.24,-23492.0,-80.9,2308178.0,7948.27
XLMUSDT,1h,0.1119,7332153.0,-0.09,-7.6,-459238.0,-766.06,-274042.0,-457.13,7332153.0,12230.86
ONTUSDT,1h,0.2285,2500294.0,0.0,-11.12,-131808.0,-803.95,37114.0,226.37,2500294.0,15250.34
TRXUSDT,1h,0.06509,70590680.0,-0.05,-3.56,-3206604.0,-773.82,1838174.0,443.59,70590680.0,17034.96
ETCUSDT,1h,15.23,11173545.0,0.26,-9.13,-543547.0,-367.73,499888.0,338.2,11173545.0,7559.4
ICXUSDT,1h,0.279,2730883.0,0.36,-12.19,-145393.0,-1281.0,123656.0,1089.48,2730883.0,24060.64
VETUSDT,1h,0.02283,19214657.0,0.09,-9.94,-1652837.0,-835.14,1428219.0,721.65,19214657.0,9708.74
NULSUSDT,1h,0.166,3051153.0,-0.12,-13.43,-31734.0,-235.4,23372.0,173.37,3051153.0,22632.99
LINKUSDT,1h,6.25,72068019.0,-0.16,-6.72,-1697018.0,-406.46,-368578.0,-88.28,72068019.0,17261.43
WAVESUSDT,1h,5.19,18522914.0,0.0,-12.72,-818211.0,-356.28,-630480.0,-274.53,18522914.0,8065.5
ONGUSDT,1h,0.3678,390712.0,-1.11,-9.71,-17735.0,-312.57,-29917.0,-527.26,390712.0,6886.01
HOTUSDT,1h,0.002165,5009688.0,0.09,-6.28,-200147.0,-380.86,274040.0,521.47,5009688.0,9533.0
ZILUSDT,1h,0.03947,17646413.0,-0.38,-12.67,-1138767.0,-633.31,2081374.0,1157.53,17646413.0,9813.81
SLPUSDT,1h,0.00383,6901365.0,0.0,-8.36,-367391.0,-656.65,181811.0,324.96,6901365.0,12335.1
ZRXUSDT,1h,0.3162,1893226.0,-0.19,-6.36,-100271.0,-490.47,-43482.0,-212.69,1893226.0,9260.55
FETUSDT,1h,0.074,3158473.0,0.54,-13.51,-73072.0,-94.1,140932.0,181.48,3158473.0,4067.31
BATUSDT,1h,0.3631,6064089.0,0.06,-9.58,-466529.0,-691.63,224190.0,332.36,6064089.0,8989.96
XMRUSDT,1h,117.3,9861345.0,-0.43,-3.67,-494408.0,-402.25,-180791.0,-147.09,9861345.0,8023.16
ZECUSDT,1h,58.1,4359082.0,0.52,-8.43,-294519.0,-448.47,262644.0,399.93,4359082.0,6637.66
IOSTUSDT,1h,0.01363,3517551.0,0.22,-7.7,-311874.0,-1112.64,192877.0,688.11,3517551.0,12549.24
CELRUSDT,1h,0.01535,3521799.0,0.46,-13.42,-213787.0,-1205.59,211985.0,1195.43,3521799.0,19860.14
DASHUSDT,1h,45.1,3443714.0,0.22,-10.42,-159649.0,-307.57,308440.0,594.22,3443714.0,6634.39
